country_name,latitude,longitude,hc_cluster
Monaco,43.7384176,7.4246158,1
Mongolia,46.862496,103.846656,4
Montenegro,42.708678,19.37439,1
Montserrat,16.742498,-62.187366,2
Morocco,31.791702,-7.09262,1
Mozambique,-18.665695,35.529562,0
Myanmar,21.916221,95.955974,4
Namibia,-22.95764,18.49041,0
Nauru,-0.522778,166.931503,3
Nepal,28.394857,84.124008,4
Netherlands,52.132633,5.291266,1
New Caledonia,-20.904305,165.618042,3
New Zealand,-40.900557,174.885971,3
Nicaragua,12.865416,-85.207229,2
Niger,17.607789,8.081666,0
Nigeria,9.081999,8.675277,0
Niue,-19.054445,-169.867233,3
Norfolk Island,-29.040835,167.954712,3
North Korea,40.339852,127.510093,4
Northern Mariana Islands,15.0979,145.6739,4
Norway,60.472024,8.468946,1
Oman,21.4735329,55.975413,1
Pakistan,30.375321,69.345116,4
Palau,7.51498,134.58252,4
Palestine,31.952162,35.233154,1
Panama,8.537981,-80.782127,2
Papua New Guinea,-6.314993,143.95555,3
Paraguay,-23.442503,-58.443832,2
Peru,-9.189967,-75.015152,2
Philippines,12.879721,121.774017,4
Pitcairn Islands,-24.3767537,-128.3242376,3
Poland,51.919438,19.145136,1
Portugal,39.399872,-8.224454,1
Puerto Rico,18.220833,-66.590149,2
Qatar,25.354826,51.183884,1
Romania,45.943161,24.96676,1
Russia,61.52401,105.318756,4
Rwanda,-1.940278,29.873888,0
Reunion,-21.115141,55.536384,0
Samoa,-13.759029,-172.104629,3
San Marino,43.94236,12.457777,1
Saudi Arabia,23.885942,45.079162,1
Senegal,14.497401,-14.452362,0
Serbia,44.016521,21.005859,1
Seychelles,-4.679574,55.491977,0
Sierra Leone,8.460555,-11.779889,0
Singapore,1.352083,103.819836,4
Sint Maarten,18.04248,-63.05483,2
Slovakia,48.669026,19.699024,1
Slovenia,46.151241,14.995463,1
Solomon Islands,-9.64571,160.156194,3
Somalia,5.152149,46.199616,0
South Africa,-30.559482,22.937506,0
South Georgia & South Sandwich Islands,-54.429579,-36.587909,0
South Korea,35.907757,127.766922,4
South Sudan,6.8769919,31.3069788,0
Spain,40.463667,-3.74922,1
Sri Lanka,7.873054,80.771797,4
St. Barthelemy,17.9,-62.833333,2
St. Helena,-15.9650104,-5.7089241,0
St. Kitts & Nevis,17.357822,-62.782998,2
St. Lucia,13.909444,-60.978893,2
St. Martin,18.0708298,-63.0500809,2
St. Pierre & Miquelon,46.8852,-56.3159,2
St. Vincent & Grenadines,12.984305,-61.287228,2
Sudan,12.862807,30.217636,0
Suriname,3.919305,-56.027783,2
Svalbard & Jan Mayen,77.553604,23.6702719,1
Swaziland,-26.522503,31.465866,0
Sweden,60.128161,18.643501,1
Switzerland,46.818188,8.227512,1
Syria,34.802075,38.996815,1
Sao Tome & Principe,0.18636,6.613081,0
Taiwan,23.69781,120.960515,4
Tajikistan,38.861034,71.276093,4
Tanzania,-6.369028,34.888822,0
Thailand,15.870032,100.992541,4
Timor-Leste,-8.874217,125.727539,4
Togo,8.619543,0.824782,0
Tokelau,-9.2002,-171.8484,3
Tonga,-21.178986,-175.198242,3
Trinidad & Tobago,10.691803,-61.222503,2
Tunisia,33.886917,9.537499,1
Turkey,38.963745,35.243322,1
Turkmenistan,38.969719,59.556278,1
Turks & Caicos Islands,21.694025,-71.797928,2
Tuvalu,-7.109535,177.64933,3
U.S. Outlying Islands,19.2823192,166.647047,3
U.S. Virgin Islands,18.335765,-64.896335,2
UK,55.378051,-3.435973,1
US,40.7605367,-73.9788903,2
Uganda,1.373333,32.290275,0
Ukraine,48.379433,31.1655799,1
United Arab Emirates,23.424076,53.847818,1
Uruguay,-32.522779,-55.765835,2
Uzbekistan,41.377491,64.585262,1
Vanuatu,-15.376706,166.959158,3
Vatican City,41.902916,12.453389,1
Venezuela,6.42375,-66.58973,2
Vietnam,14.058324,108.277199,4
Wallis & Futuna,-14.2938,-178.1165,3
Western Sahara,24.215527,-12.885834,1
Yemen,15.552727,48.516388,0
Zambia,-13.133897,27.849332,0
Zimbabwe,-19.015438,29.154857,0
Aland Islands,60.1785247,19.9156105,1
