latitude,longitude,country_name,final_cluster
13.443182,-15.310139,Gambia,3
32.1656221,-82.9000751,Georgia,1
51.165691,10.451526,Germany,0
7.946527,-1.023194,Ghana,3
36.140751,-5.353585,Gibraltar,0
39.074208,21.824312,Greece,0
71.706936,-42.604303,Greenland,0
12.1165,-61.679,Grenada,1
16.265,-61.551,Guadeloupe,1
13.444304,144.793731,Guam,2
15.783471,-90.230759,Guatemala,1
49.465691,-2.585278,Guernsey,0
9.945587,-9.696645,Guinea,3
11.803749,-15.180413,Guinea-Bissau,3
4.860416,-58.93018,Guyana,1
18.971187,-72.285215,Haiti,1
-53.08181,73.504158,Heard & McDonald Islands,3
15.199999,-86.241905,Honduras,1
22.396428,114.109497,Hong Kong,2
47.162494,19.5033041,Hungary,0
64.963051,-19.020835,Iceland,0
20.593684,78.96288,India,2
-0.789275,113.921327,Indonesia,2
32.427908,53.688046,Iran,0
33.223191,43.679291,Iraq,0
53.1423672,-7.6920536,Ireland,0
54.236107,-4.548056,Isle of Man,0
31.046051,34.851612,Israel,0
41.87194,12.56738,Italy,0
18.109581,-77.297508,Jamaica,1
36.204824,138.252924,Japan,2
49.214439,-2.13125,Jersey,0
30.585164,36.238414,Jordan,0
48.019573,66.923684,Kazakhstan,0
-0.023559,37.906193,Kenya,3
-3.370417,-168.734039,Kiribati,4
29.31166,47.481766,Kuwait,0
41.20438,74.766098,Kyrgyzstan,2
19.85627,102.495496,Laos,2
56.879635,24.603189,Latvia,0
33.854721,35.862285,Lebanon,0
-29.609988,28.233608,Lesotho,3
6.428055,-9.429499,Liberia,3
26.3351,17.228331,Libya,0
47.166,9.555373,Liechtenstein,0
55.169438,23.881275,Lithuania,0
49.815273,6.129583,Luxembourg,0
22.198745,113.543873,Macau,2
41.608635,21.745275,Macedonia,0
-18.766947,46.869107,Madagascar,3
-13.254308,34.301525,Malawi,3
4.210484,101.975766,Malaysia,2
3.202778,73.22068,Maldives,2
17.570692,-3.996166,Mali,3
35.937496,14.375416,Malta,0
7.131474,171.184478,Marshall Islands,4
14.641528,-61.024174,Martinique,1
21.00789,-10.940835,Mauritania,0
-20.348404,57.552152,Mauritius,3
-12.8275,45.166244,Mayotte,3
23.634501,-102.552784,Mexico,1
7.425554,150.550812,Micronesia,4
47.411631,28.369885,Moldova,0
43.7384176,7.4246158,Monaco,0
46.862496,103.846656,Mongolia,2
42.708678,19.37439,Montenegro,0
16.742498,-62.187366,Montserrat,1
31.791702,-7.09262,Morocco,0
-18.665695,35.529562,Mozambique,3
21.916221,95.955974,Myanmar,2
-22.95764,18.49041,Namibia,3
-0.522778,166.931503,Nauru,4
28.394857,84.124008,Nepal,2
52.132633,5.291266,Netherlands,0
-20.904305,165.618042,New Caledonia,4
-40.900557,174.885971,New Zealand,4
12.865416,-85.207229,Nicaragua,1
17.607789,8.081666,Niger,3
9.081999,8.675277,Nigeria,3
-19.054445,-169.867233,Niue,4
-29.040835,167.954712,Norfolk Island,4
40.339852,127.510093,North Korea,2
15.0979,145.6739,Northern Mariana Islands,2
60.472024,8.468946,Norway,0
21.4735329,55.975413,Oman,0
30.375321,69.345116,Pakistan,2
7.51498,134.58252,Palau,2
31.952162,35.233154,Palestine,0
8.537981,-80.782127,Panama,1
-6.314993,143.95555,Papua New Guinea,4
-23.442503,-58.443832,Paraguay,1
-9.189967,-75.015152,Peru,1
12.879721,121.774017,Philippines,2
-24.3767537,-128.3242376,Pitcairn Islands,4
51.919438,19.145136,Poland,0
39.399872,-8.224454,Portugal,0
18.220833,-66.590149,Puerto Rico,1
25.354826,51.183884,Qatar,0
45.943161,24.96676,Romania,0
61.52401,105.318756,Russia,2
-1.940278,29.873888,Rwanda,3
-21.115141,55.536384,Reunion,3
-13.759029,-172.104629,Samoa,4
43.94236,12.457777,San Marino,0
23.885942,45.079162,Saudi Arabia,0
14.497401,-14.452362,Senegal,3
44.016521,21.005859,Serbia,0
-4.679574,55.491977,Seychelles,3
8.460555,-11.779889,Sierra Leone,3
1.352083,103.819836,Singapore,2
18.04248,-63.05483,Sint Maarten,1
48.669026,19.699024,Slovakia,0
46.151241,14.995463,Slovenia,0
-9.64571,160.156194,Solomon Islands,4
5.152149,46.199616,Somalia,3
-30.559482,22.937506,South Africa,3
-54.429579,-36.587909,South Georgia & South Sandwich Islands,3
35.907757,127.766922,South Korea,2
6.8769919,31.3069788,South Sudan,3
40.463667,-3.74922,Spain,0
7.873054,80.771797,Sri Lanka,2
17.9,-62.833333,St. Barthelemy,1
-15.9650104,-5.7089241,St. Helena,3
17.357822,-62.782998,St. Kitts & Nevis,1
13.909444,-60.978893,St. Lucia,1
18.0708298,-63.0500809,St. Martin,1
46.8852,-56.3159,St. Pierre & Miquelon,1
12.984305,-61.287228,St. Vincent & Grenadines,1
12.862807,30.217636,Sudan,3
3.919305,-56.027783,Suriname,1
77.553604,23.6702719,Svalbard & Jan Mayen,0
-26.522503,31.465866,Swaziland,3
60.128161,18.643501,Sweden,0
46.818188,8.227512,Switzerland,0
34.802075,38.996815,Syria,0
0.18636,6.613081,Sao Tome & Principe,3
23.69781,120.960515,Taiwan,2
38.861034,71.276093,Tajikistan,2
-6.369028,34.888822,Tanzania,3
15.870032,100.992541,Thailand,2
-8.874217,125.727539,Timor-Leste,2
8.619543,0.824782,Togo,3
-9.2002,-171.8484,Tokelau,4
-21.178986,-175.198242,Tonga,4
10.691803,-61.222503,Trinidad & Tobago,1
33.886917,9.537499,Tunisia,0
38.963745,35.243322,Turkey,0
38.969719,59.556278,Turkmenistan,0
21.694025,-71.797928,Turks & Caicos Islands,1
-7.109535,177.64933,Tuvalu,4
19.2823192,166.647047,U.S. Outlying Islands,4
18.335765,-64.896335,U.S. Virgin Islands,1
55.378051,-3.435973,UK,0
40.7605367,-73.9788903,US,1
1.373333,32.290275,Uganda,3
48.379433,31.1655799,Ukraine,0
23.424076,53.847818,United Arab Emirates,0
-32.522779,-55.765835,Uruguay,1
41.377491,64.585262,Uzbekistan,0
-15.376706,166.959158,Vanuatu,4
41.902916,12.453389,Vatican City,0
6.42375,-66.58973,Venezuela,1
14.058324,108.277199,Vietnam,2
-14.2938,-178.1165,Wallis & Futuna,4
24.215527,-12.885834,Western Sahara,0
15.552727,48.516388,Yemen,3
-13.133897,27.849332,Zambia,3
-19.015438,29.154857,Zimbabwe,3
60.1785247,19.9156105,Aland Islands,0
